class,size,topics
-1,155,expect_time_need_class_help
0,22,expect_open_respectful_people_collaborative
1,16,need_mistakes_make_afraid_remain
2,24,assignments_time_complete_need_sure
3,75,expect_questions_help_ask_need
4,64,prepared_class_lectures_expect_material
5,26,peers_work_ideas_learning_expect
6,18,zone_comfort_inclusive_nonjudgmental_willing
7,38,expect_course_class_work_classes
8,44,need_peers_group_thoughts_people
9,20,expect_work_time_stay_organized
10,10,expect_ideas_thoughts_opinions_different
11,20,class_participate_actively_need_discussions
12,12,learn_mistakes_openminded_challenge_talking
13,12,questions_ask_class_dumb_actually
